period,type1_under_4hrs,type2_under_4hrs,type3_under_4hrs,total_under_4hrs,type1_over_4hrs,type2_over_4hrs,type3_over_4hrs,total_over_4hrs,pct_within_4hrs_all,pct_within_4hrs_type1,pct_within_4hrs_type2,pct_within_4hrs_type3
Nov-10,1065456,53584,485551,1604591,45838,143,455,46436,97.2,95.9,99.7,99.9
Dec-10,1070729,45396,531699,1647824,88475,141,1301,89917,94.8,92.4,99.7,99.8
Jan-11,1061898,51421,541589,1654907,71983,164,742,72889,95.8,93.7,99.7,99.9
Feb-11,1007385,51153,493883,1552421,46322,96,525,46943,97.1,95.6,99.8,99.9
Mar-11,1167090,57695,579484,1804268,58132,206,835,59173,96.8,95.3,99.6,99.9
Apr-11,1140917,53788,592290,1786995,56295,255,830,57380,96.9,95.3,99.5,99.9
May-11,1168080,56643,594167,1818890,53607,424,774,54805,97.1,95.6,99.3,99.9
Jun-11,1117615,54550,561551,1733716,50853,189,659,51702,97.1,95.6,99.7,99.9
Jul-11,1167234,55995,596844,1820074,43832,208,846,44885,97.6,96.4,99.6,99.9
Aug-11,1091367,51774,569891,1713032,44435,116,526,45077,97.4,96.1,99.8,99.9
Sep-11,1107671,52150,565998,1725818,54472,180,740,55392,96.9,95.3,99.7,99.9
Oct-11,1139227,54241,592992,1786460,61481,206,765,62453,96.6,94.9,99.6,99.9
Nov-11,1076774,51633,553902,1682309,58186,139,807,59132,96.6,94.9,99.7,99.9
Dec-11,1069766,47847,541602,1659214,71841,114,877,72832,95.8,93.7,99.8,99.8
Jan-12,1064831,51548,547393,1663771,73085,59,602,73747,95.8,93.6,99.9,99.9
Feb-12,1036193,51049,531563,1618805,84230,107,1091,85427,95.0,92.5,99.8,99.8
Mar-12,1197372,58319,610515,1866206,65710,255,981,66947,96.5,94.8,99.6,99.8
Apr-12,1086165,51511,567286,1704962,63468,178,914,64561,96.4,94.5,99.7,99.8
May-12,1191009,56279,620762,1868050,60405,138,978,61521,96.8,95.2,99.8,99.8
Jun-12,1161693,53766,610943,1826402,60392,191,857,61439,96.7,95.1,99.6,99.9
Jul-12,1193640,55175,619275,1868090,55313,217,903,56434,97.1,95.6,99.6,99.9
Aug-12,1143645,52793,594097,1790535,53739,112,756,54607,97.0,95.5,99.8,99.9
Sep-12,1120087,51402,557892,1729381,58274,124,712,59110,96.7,95.1,99.8,99.9
Oct-12,1146459,53229,563748,1763436,67975,194,700,68868,96.2,94.4,99.6,99.9
Nov-12,1098824,51587,535180,1685591,69084,217,713,70014,96.0,94.1,99.6,99.9
Dec-12,1106158,47415,571665,1725239,95922,138,1127,97187,94.7,92.0,99.7,99.8
Jan-13,1056300,49386,532870,1638557,93537,132,892,94561,94.5,91.9,99.7,99.8
Feb-13,992426,48708,513502,1554636,92907,262,944,94112,94.3,91.4,99.5,99.8
Mar-13,1106666,53888,583535,1744089,119531,331,1134,120995,93.5,90.3,99.4,99.8
Apr-13,1080364,53977,576957,1711299,118725,329,1068,120122,93.4,90.1,99.4,99.8
May-13,1166193,54434,606220,1826847,63555,294,974,64823,96.6,94.8,99.5,99.8
Jun-13,1136079,54397,584221,1774696,55273,193,874,56340,96.9,95.4,99.6,99.9
Jul-13,1217422,55253,638025,1910700,64277,283,1028,65589,96.7,95.0,99.5,99.8
Aug-13,1122312,53056,596827,1772195,67359,184,853,68396,96.3,94.3,99.7,99.9
Sep-13,1082967,52174,559064,1694205,73602,138,804,74544,95.8,93.6,99.7,99.9
Oct-13,1121110,52580,576489,1750179,78148,126,976,79250,95.7,93.5,99.8,99.8
Nov-13,1069367,50504,542385,1662255,69745,127,909,70781,95.9,93.9,99.7,99.8
Dec-13,1088947,47723,561310,1697980,83064,86,899,84049,95.3,92.9,99.8,99.8
Jan-14,1059249,50884,545409,1655543,83034,175,786,83996,95.2,92.7,99.7,99.9
Feb-14,996820,47539,528354,1572713,87924,165,1012,89101,94.6,91.9,99.7,99.8
Mar-14,1185253,55588,630671,1871512,84183,211,1435,85829,95.6,93.4,99.6,99.8
Apr-14,1125630,51903,611186,1788719,87436,131,1390,88957,95.3,92.8,99.7,99.8
May-14,1186776,54221,634841,1875839,100557,225,1408,102190,94.8,92.2,99.6,99.8
Jun-14,1174433,54698,620273,1849404,90778,299,1786,92864,95.2,92.8,99.5,99.7
Jul-14,1208070,55481,633808,1897359,94519,312,1442,96272,95.2,92.7,99.4,99.8
Aug-14,1100823,52822,574785,1728430,87323,229,1327,88880,95.1,92.7,99.6,99.8
Sep-14,1123719,51918,577799,1753436,98063,277,1510,99850,94.6,92.0,99.5,99.7
Oct-14,1132970,54247,586178,1773396,117144,181,1653,118978,93.7,90.6,99.7,99.7
Nov-14,1087855,52039,570835,1710729,117664,291,1776,119731,93.5,90.2,99.4,99.7
Dec-14,1052857,47492,608723,1709072,189038,167,2950,192155,89.9,84.8,99.6,99.5
Jan-15,972839,50738,555334,1578911,151201,163,1793,153156,91.2,86.5,99.7,99.7
Feb-15,941203,47961,532814,1521979,131248,196,1424,132868,92.0,87.8,99.6,99.7
Mar-15,1112666,56021,633086,1801773,138659,362,2173,141194,92.7,88.9,99.4,99.7
Apr-15,1083542,51844,611982,1747368,123089,522,2188,125799,93.3,89.8,99.0,99.6
May-15,1146859,54318,626007,1827184,107586,491,2207,110284,94.3,91.4,99.1,99.6
Jun-15,1152550,53159,606176,1811885,96663,239,2422,99324,94.8,92.3,99.6,99.6
Jul-15,1176360,52959,626101,1855420,95163,458,1854,97475,95.0,92.5,99.1,99.7
Aug-15,1111430,49222,598012,1758664,104396,236,1843,106475,94.3,91.4,99.5,99.7
Sep-15,1101364,50432,585072,1736868,120230,436,2445,123111,93.4,90.2,99.1,99.6
Oct-15,1117242,49746,608566,1775554,144153,529,2872,147554,92.3,88.6,98.9,99.5
Nov-15,1075801,47831,587131,1710763,160493,475,2504,163472,91.3,87.0,99.0,99.6
Dec-15,1067228,45807,586013,1699048,165737,341,2526,168604,91.0,86.6,99.3,99.6
Jan-16,1037870,46773,605991,1690634,212135,435,3716,216286,88.7,83.0,99.1,99.4
Feb-16,994262,47731,599702,1641695,224110,656,4315,229081,87.8,81.6,98.6,99.3
Mar-16,1091694,49356,680669,1821719,258679,550,6605,265834,87.3,80.8,98.9,99.0
Apr-16,1031657,49670,600332,1681659,182400,689,3033,186122,90.0,85.0,98.6,99.5
May-16,1156105,51584,661322,1869011,197101,596,3632,201329,90.3,85.4,98.9,99.5
Jun-16,1100964,51783,621143,1773890,181535,397,2980,184912,90.6,85.8,99.2,99.5
Jul-16,1155474,52407,669180,1877061,198003,554,3416,201973,90.3,85.4,99.0,99.5
Aug-16,1083307,51854,623321,1758482,171132,550,2737,174419,91.0,86.4,99.0,99.6
Sep-16,1098740,52114,619013,1769867,178838,407,3352,182597,90.6,86.0,99.2,99.5
Oct-16,1102967,50464,629248,1782679,214604,556,3977,219137,89.1,83.7,98.9,99.4
Nov-16,1040079,49660,596419,1686158,218126,319,3268,221713,88.4,82.7,99.4,99.5
Dec-16,1013156,45290,617303,1675749,263977,279,4562,268818,86.2,79.3,99.4,99.3
Jan-17,960146,47633,605881,1613660,277031,406,4175,281612,85.1,77.6,99.2,99.3
Feb-17,915403,45394,558406,1519203,212506,339,3571,216416,87.5,81.2,99.3,99.4
Mar-17,1113881,52671,647890,1814442,195626,684,5082,201392,90.0,85.1,98.7,99.2
Apr-17,1074366,46813,643653,1764832,179377,737,4816,184930,90.5,85.7,98.5,99.3
May-17,1140074,50490,663353,1853917,207223,547,5102,212872,89.7,84.6,98.9,99.2
Jun-17,1116618,50188,642305,1809111,180259,424,4262,184945,90.7,86.1,99.2,99.3
Jul-17,1153599,49842,670322,1873763,195049,527,4605,200181,90.3,85.5,99.0,99.3
Aug-17,1073662,47408,616886,1737956,182993,504,3210,186707,90.3,85.4,98.9,99.5
Sep-17,1068942,46860,611132,1726934,195015,390,3622,199027,89.7,84.6,99.2,99.4
Oct-17,1124093,49856,664586,1838535,201118,342,4142,205602,89.9,84.8,99.3,99.4
Nov-17,1064496,47776,642617,1754889,217417,447,4218,222082,88.8,83.0,99.1,99.3
Dec-17,996727,41837,664497,1703061,292860,321,7712,300893,85.0,77.3,99.2,98.9
Jan-18,969985,49495,686577,1706057,287041,492,6496,294029,85.3,77.2,99.0,99.1
Feb-18,885797,41332,620696,1547825,265960,570,5657,272187,85.0,76.9,98.6,99.1
Mar-18,993095,45703,695755,1734553,306701,952,7579,315232,84.6,76.4,98.0,98.9
Apr-18,1025362,46157,686086,1757605,220986,1099,4679,226764,88.6,82.3,97.7,99.3
May-18,1153259,48511,754686,1956456,201452,708,5842,208002,90.4,85.1,98.6,99.2
Jun-18,1118941,48801,732782,1900524,187798,834,4786,193418,90.8,85.6,98.3,99.4
Jul-18,1139867,48988,758217,1947072,225992,858,5974,232824,89.3,83.5,98.3,99.2
Aug-18,1051958,48589,692068,1792615,200809,528,3902,205239,89.7,84.0,98.9,99.4
